"No.","Time","Source","Destination","Protocol","Length","Name","Transaction ID","Info"
"1","0.000000","192.168.1.10","147.182.172.189","DNS","126","504b0304140008080800a52c47550000000000000000000000.pumpkincorp.com","0xa49f","Standard query 0xa49f A 504b0304140008080800a52c47550000000000000000000000.pumpkincorp.com"
"2","0.217130","147.182.172.189","192.168.1.10","DNS","142","504b0304140008080800a52c47550000000000000000000000.pumpkincorp.com","0xa49f","Standard query response 0xa49f A 504b0304140008080800a52c47550000000000000000000000.pumpkincorp.com A 147.182.172.189"
"3","1.062969","192.168.1.10","147.182.172.189","DNS","126","0018000000786c2f64726177696e67732f64726177696e6731.pumpkincorp.com","0xdd23","Standard query 0xdd23 A 0018000000786c2f64726177696e67732f64726177696e6731.pumpkincorp.com"
"4","1.240617","147.182.172.189","192.168.1.10","DNS","142","0018000000786c2f64726177696e67732f64726177696e6731.pumpkincorp.com","0xdd23","Standard query response 0xdd23 A 0018000000786c2f64726177696e67732f64726177696e6731.pumpkincorp.com A 147.182.172.189"
"5","2.069426","192.168.1.10","147.182.172.189","DNS","126","2e786d6c9dd05d6ec2300c07f013ec0e55de695a181343145e.pumpkincorp.com","0xcf3f","Standard query 0xcf3f A 2e786d6c9dd05d6ec2300c07f013ec0e55de695a181343145e.pumpkincorp.com"
"6","2.264315","147.182.172.189","192.168.1.10","DNS","142","2e786d6c9dd05d6ec2300c07f013ec0e55de695a181343145e.pumpkincorp.com","0xcf3f","Standard query response 0xcf3f A 2e786d6c9dd05d6ec2300c07f013ec0e55de695a181343145e.pumpkincorp.com A 147.182.172.189"
"7","3.155776","192.168.1.10","147.182.172.189","DNS","126","d04e300ee0256e1b918fca0ea3dc7ed14a36697b011e6dcb3f.pumpkincorp.com","0xb53f","Standard query 0xb53f A d04e300ee0256e1b918fca0ea3dc7ed14a36697b011e6dcb3f.pumpkincorp.com"
"8","3.391353","147.182.172.189","192.168.1.10","DNS","142","d04e300ee0256e1b918fca0ea3dc7ed14a36697b011e6dcb3f.pumpkincorp.com","0xb53f","Standard query response 0xb53f A d04e300ee0256e1b918fca0ea3dc7ed14a36697b011e6dcb3f.pumpkincorp.com A 147.182.172.189"
"9","4.236338","192.168.1.10","147.182.172.189","DNS","126","f9efcd6e74b6f84462137c23eab212057a15b4f15d230eef6f.pumpkincorp.com","0x6195","Standard query 0x6195 A f9efcd6e74b6f84462137c23eab212057a15b4f15d230eef6f.pumpkincorp.com"
"10","4.414911","147.182.172.189","192.168.1.10","DNS","142","f9efcd6e74b6f84462137c23eab212057a15b4f15d230eef6f.pumpkincorp.com","0x6195","Standard query response 0x6195 A f9efcd6e74b6f84462137c23eab212057a15b4f15d230eef6f.pumpkincorp.com A 147.182.172.189"
"11","5.254457","192.168.1.10","147.182.172.189","DNS","126","b395283882d76083c7465c90c56efbb41935adcfbca722ed7b.pumpkincorp.com","0x5634","Standard query 0x5634 A b395283882d76083c7465c90c56efbb41935adcfbca722ed7b.pumpkincorp.com"
"12","5.438860","147.182.172.189","192.168.1.10","DNS","142","b395283882d76083c7465c90c56efbb41935adcfbca722ed7b.pumpkincorp.com","0x5634","Standard query response 0x5634 A b395283882d76083c7465c90c56efbb41935adcfbca722ed7b.pumpkincorp.com A 147.182.172.189"
